"CCA1"	"CCA2"
"KCNMA1"	0.207809363819834	-0.00609388480966656
"KCNQ2"	0.35227505577493	0.105253932683077
"KCNQ3"	0.280622933702416	0.0529542378599023
"KCNV1"	0.225671053898779	0.0743037425833602
"KCTD4"	0.229009269742139	0.0708031172552439
"KIAA0408"	0.28165149885283	-0.0199173662038465
"KIF3C"	0.254522773763759	0.0378766001813661
"KIF5A"	0.418475625743302	0.106905332823718
"KIF5C"	0.412895957555549	0.116892000702488
"KIRREL3"	0.250200233979982	0.0807028330117186
"KLHL34"	0.249076538639611	0.0909926519861995
"KNDC1"	0.352998045314035	0.00895766559540015
"KRT222"	0.213354635276727	0.0670479344249731
"L1CAM"	0.204292761231314	0.00408151245930471
"LAMP5"	0.316204933275948	0.100289884823504
"LARP6"	0.252725959710826	-0.0176609687761992
"LGI1"	0.332726051232704	0.054351780236702
"LGI2"	0.203992416990621	0.0178684888140272
"LGI3"	0.304300394638239	-0.0789269722190716
"LGI4"	0.207570742178079	-0.0136497007580391
"LHFPL4"	0.230731944476752	0.039795482164592
"LINGO1"	0.264633921178114	0.10984874948525
"LINGO3"	0.241737046184519	0.047661746413875
"LMTK3"	0.241774334519796	0.0745951236214509
"LONRF2"	0.294086408749741	0.0753378258941685
"LRCH2"	0.2114815036041	-0.0116601919542489
"LRFN1"	0.215056335840581	0.0128510623529037
"LRFN5"	0.290895261599046	0.0871634620461189
"LRRC4"	0.302339550856906	0.044925743253428
"LRRC4B"	0.326161326765124	0.0711140829548119
"LRRC4C"	0.272654003775118	0.0738391708351921
"LRRC7"	0.233611972311625	0.0612847784423246
"LRRC73"	0.221950113161327	0.0213306937922354
"LRRN1"	0.277194724408866	0.0718956622678055
"LRRN2"	0.316150593225919	0.0502108748943969
"LRRTM1"	0.204113563851222	0.0255800876725189
"LRRTM2"	0.249901789818363	0.0684898725596902
"LRRTM3"	0.253588085920769	-0.0121784377495149
"LRRTM4"	0.234394669630871	0.0189002962633895
"LSAMP"	0.262930030242969	0.097496461234906
"MAG"	0.307585642993712	0.0737817762438968
