"","MEpink","MEmidnightblue","MEpurple","MEcyan","MEgrey60","MElightgreen","MEdarkgrey","MEtan","MEdarkred","MEblue","MEdarkgreen","MElightyellow","MEblack","MEturquoise","MElightcyan","MEdarkturquoise","MEorange","MEgreen","MEroyalblue","MEgreenyellow","MEmagenta","MEred","MEyellow","MEbrown","MEsalmon"
"1010_F_kid_yes",0.116858906348644,0.09314714929287,0.166652142771165,0.0592000290962426,-0.0535681099759315,0.0883759372987976,-0.0402924850670713,-0.00424259732066664,-0.0645476438286448,-0.0429545663752921,-0.0565729613009879,0.0608944242212736,0.0680874565655846,-0.0342783607775719,0.0275057662301001,-0.0247748707592131,0.0711422909850235,0.0301916325275593,-0.0566152140048718,-0.0046716588726142,-0.0500681182551855,-0.107646395613183,0.0992861524474643,-0.0428211095438744,0.0122947526368006
"1010_F_liv_yes",-0.129697704375099,0.0250289858272748,-0.0221958820641614,0.0691911420062284,0.0803899683547656,-0.0868437341407458,-0.0709526287369285,-0.021077185740241,0.0242902599416831,-0.0758817661396603,0.0633477348376813,-0.00147452544512568,0.0976983702320946,0.148020886941083,0.0772428856442826,0.131951985218679,0.106247053970675,-0.158977103062592,-0.128140921360126,-0.0430390528501773,-0.0520743271876168,0.0598454247117033,-0.0959076120841461,-0.0821197920118375,0.00818235577072962
"1010_F_lu_yes",-0.0532369644339538,-0.12401285222596,-0.039939044142145,-0.0933985528380933,-0.0493248381476808,-0.0384100806327917,-0.0219464835324395,0.015339004531004,-0.101805829871566,0.00315913802227922,0.0280708457717771,-0.0550058036166534,0.0345398342417916,-0.02497057730488,0.0353836622722456,-0.0652557752618505,-0.0683034783021775,0.0494889038123285,-0.00253466373891568,-0.0367385229742446,0.146246192739346,0.0861993774309776,0.0899149889981886,0.129582502510353,0.104371753642447
"1154_F_gi_no",0.0335487478095839,0.0117345647758629,-0.0418466594522914,-0.101743093968631,-0.0940158093754104,-0.0760316316296202,-0.0393925296853129,-0.130207612688557,0.114806983021983,0.151356041795114,0.131043822916059,0.105862482367962,-0.0936441832113175,-0.0477456273107424,0.0201375213470457,0.0482302189717419,0.0221146999772188,0.0566582640875953,0.0602682869354555,-0.0649069109774223,0.014682398245987,0.0205365832608224,-0.0465554106630105,-0.0518360066339917,-0.0970308291626818
"1154_F_hyp_no",0.0067822976664725,0.00240446547192018,-0.052534200199714,0.0414816753003711,0.0824481228192993,0.0907093394754595,0.136092858921545,0.0953512126850222,0.00486469422661043,-0.0504748890479216,-0.10569362552425,-0.105438944966085,-0.0914674217141786,-0.0504275608680512,-0.154603294550134,-0.0875382199677397,-0.0811823571171333,0.0243133700485075,0.0901022201294278,0.00642721722877931,-0.0842254215412967,-0.088584559573902,-0.0494531301300974,0.0222855022410791,-0.0726580827356155
"1154_F_kid_no",0.125609432554919,0.107036466042153,0.174252608923246,0.0591925786188221,-0.0649326678628218,0.0854559167094772,-0.0437170032275607,-0.0154193464512489,-0.056322070775857,-0.0269300859109609,-0.0498899360006989,0.0637933123572759,0.0605879444692196,-0.0413705152015687,0.0257621970677367,-0.0255988531823008,0.0795458468569103,0.0279784769739914,-0.0552544628664313,-0.0383009642090051,-0.0557955982828134,-0.114728600733019,0.0987294307886131,-0.0465902820357782,-0.00193074402158413
"1154_F_liv_no",-0.11486698023452,0.0119733691790407,-0.00555207284485425,0.0901855995282309,0.080437772398902,-0.0741611796287212,-0.0651509553416502,-0.0130534983280232,0.0130964598022304,-0.0691350809002578,0.0390928346734108,0.00277338644732106,0.102360090360853,0.150545120383433,0.0694863216317096,0.109781178010859,0.103842117495328,-0.159139540951893,-0.121556701157963,-0.0380224390369718,-0.0463593871295078,0.0633474254976187,-0.0834234934931449,-0.070961541740709,0.0227528997455201
"1154_F_lu_no",-0.0432225561390912,-0.138172141790361,-0.0409953652956411,-0.0940283445465108,-0.0527810472826093,-0.0238495321514316,-0.0133951478637438,0.038143131457153,-0.105500615875952,0.0120844850618945,-0.00923359814042775,-0.0557747006758634,0.0220496429387677,-0.0266167448985621,0.0310170686426108,-0.0768224342800599,-0.0944482068962183,0.0573190258302956,0.0135189302995466,0.0211458749472087,0.14401479405755,0.0833673398647535,0.0952175671977917,0.146080564614271,0.108921243196392
"1151_F_gi_no",0.039871708484193,0.0162533615009059,-0.036520448421137,-0.100352896881357,-0.0942823954743557,-0.0715934610350783,-0.0407639636529249,-0.127531323155791,0.114105223675246,0.151102453762081,0.125155309428183,0.105788489525336,-0.0965841965769118,-0.0515959603323586,0.0259649059792519,0.0422755756384614,0.0149482051730215,0.0690309412424676,0.0605038033297332,-0.0759427361635075,0.0259991761079582,0.0276826480091295,-0.0395830352167429,-0.0477035457783169,-0.0916647728997475
"1151_F_hyp_no",0.0181785386573046,0.0322771054577899,-0.0455442441332611,0.0525494825762344,0.0989527977687538,0.10584487928911,0.152313332124039,0.103325471827522,0.0315089837262584,-0.0484758394943818,-0.0831320271514977,-0.105930000122245,-0.0858847659934043,-0.0460699509978591,-0.155327463409612,-0.0765383030265057,-0.062103063862912,0.0126956953313962,0.101961660705584,-0.0799766892190718,-0.084281575897007,-0.0867127746220271,-0.0531004984111184,0.0179802758683279,-0.0826607923716261
