"","kMEblack","kMEgreen","kMEpurple","kMEgreenyellow","kMEmagenta","kMEtan","kMEblue","kMEred","kMEyellow","kMEpink","kMEbrown","kMEturquoise"
"ABRAXAS2",-0.0952928464345411,-0.444576674306731,-0.353265230731493,-0.565534264085992,-0.144621762079525,0.00720093689378356,0.246505967488655,-0.224509271151378,-0.400316082890349,-0.0316993488909421,0.563658252062888,0.761888706650398
"ABT1",-0.0431748071004305,-0.443769426275207,-0.631206663531085,-0.512464310330701,-0.411845087538799,-0.354185018971511,0.491893270220375,0.215805206824948,0.102473539213707,-0.113872946449001,0.440644271698969,0.223074502606588
"ABTB1",0.0517261495063185,-0.490146164756221,0.00504778108438102,0.038021733466474,-0.00203928957648951,0.495441529331479,-0.310629993586631,-0.576773578397097,-0.561932232361183,-0.417105793649389,0.218357211117664,0.340350250558332
"ACAA1A",0.0353789597115171,0.069576494791185,-0.0422755309479388,-0.178907436537587,0.578853047083457,-0.0588875961163354,0.0895409932058039,0.0551018444104396,-0.0667155758180947,0.908874707955158,0.222120668211786,0.037590406119814
"ACAA2",-0.00312566967140866,0.0159805873793331,0.0423756818165677,-0.13440872795066,0.735775974246725,0.135001153887899,-0.0811514983381917,-0.150709945453981,-0.285677974953841,0.894004633742366,0.201390887464644,0.149588188883958
"ACACA",0.074375692658134,0.506361887434366,0.669874730641391,0.597022139330627,0.0751695579710801,0.232265193475756,-0.41457457766775,-0.0668651325303696,0.137703917724462,-0.252640066295226,-0.521733379865317,-0.409495844126258
"ACACB",0.601094228031349,0.108946731824369,0.439325201012511,0.792504136562994,0.293946326963745,0.466737726773759,-0.680828812797715,-0.287725356027458,-0.0727241253128635,-0.190386883242072,-0.657420206706562,-0.527729545138518
"ACAD10",0.23933671437119,0.37656437915009,0.0373532339217708,0.146288116562966,0.477417901439836,-0.232527376940424,0.065288232117353,0.370849039527361,0.383132427604427,0.75283363218842,-0.281442970028165,-0.420775442475594
"ACAD11",0.0344286470526008,0.482645020728835,0.201795678137189,-0.0501643953902128,0.538359417207097,-0.15440352442508,0.100527154929049,0.242139055443749,0.182432981250112,0.835436456668234,-0.0222084815284392,-0.0941844630315834
"ACAD8",-0.164202240404778,-0.093507269422116,-0.443428901356882,-0.63614175319365,-0.212023045292663,-0.467453401910056,0.609988498708778,0.368630614837694,0.16283023433988,0.201972793835862,0.58807992309379,0.202798687699379
"ACAD9",-0.118699799475701,0.192115846296084,-0.456629822582027,-0.688413888289024,-0.423587920527631,-0.829561886963754,0.860611301717454,0.748906337995165,0.558739272768123,0.267047043233875,0.487496409120279,0.0831573435154611
"ACADL",0.154446869483766,-0.145351243842026,-0.395090073711533,-0.591197642600569,0.299982410765071,-0.263231551376381,0.416701282660674,0.140606718326245,-0.0841455214807247,0.804680588128596,0.503874157561419,0.428034213858289
"ACADM",-0.13031262250138,-0.19149570292708,-0.387992639057108,-0.532741290832798,-0.37314766643648,-0.385190346558501,0.512950419512271,0.249396234363383,0.114798293749114,-0.0867221177087792,0.588098376901712,0.202432010395973
